longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
290.77344,4.53906,50000.0,-16777216,,klaferri@purdue.edu
294.0625,4.3125,30000.0,-16777216,,klaferri@purdue.edu
294.14844,-0.01563,30000.0,-16777216,,klaferri@purdue.edu
289.15625,9.10937,21000.0,-16777216,,klaferri@purdue.edu
288.83594,9.4375,15000.0,-16777216,,klaferri@purdue.edu
288.96094,9.83594,12000.0,-16777216,,klaferri@purdue.edu
287.8125,8.79687,17000.0,-16777216,,klaferri@purdue.edu
287.76562,7.97656,18000.0,-16777216,,klaferri@purdue.edu
287.89844,7.14062,18000.0,-16777216,,klaferri@purdue.edu
287.16406,6.9375,13000.0,-16777216,,klaferri@purdue.edu
287.11719,7.63281,8000.0,-16777216,,klaferri@purdue.edu
286.92187,9.55469,9000.0,-16777216,,klaferri@purdue.edu
287.66016,9.54687,8000.0,-16777216,,klaferri@purdue.edu
288.48828,9.98047,8000.0,-16777216,,klaferri@purdue.edu
286.99609,9.08203,8000.0,-16777216,,klaferri@purdue.edu
289.09766,8.16016,8000.0,-16777216,,klaferri@purdue.edu
289.38281,9.00781,8000.0,-16777216,,klaferri@purdue.edu
286.74609,7.52734,8000.0,-16777216,,klaferri@purdue.edu
288.52734,4.66797,12000.0,-16777216,,klaferri@purdue.edu
287.62891,4.04687,12000.0,-16777216,,klaferri@purdue.edu
287.67969,3.98828,8000.0,-16777216,,klaferri@purdue.edu
287.26562,3.76172,8000.0,-16777216,,klaferri@purdue.edu
287.63672,1.58594,19000.0,-16777216,,klaferri@purdue.edu
287.8125,1.72656,8000.0,-16777216,,klaferri@purdue.edu
288.05469,1.1875,7000.0,-16777216,,klaferri@purdue.edu
288.35156,0.50391,20000.0,-16777216,,klaferri@purdue.edu
287.70312,0.60156,17000.0,-16777216,,klaferri@purdue.edu
286.98828,0.62891,16000.0,-16777216,,klaferri@purdue.edu
286.94922,0.86719,13000.0,-16777216,,klaferri@purdue.edu
290.79688,0.81641,8000.0,-16777216,,klaferri@purdue.edu
290.22266,0.13672,8000.0,-16777216,,klaferri@purdue.edu
291.50391,5.30859,9000.0,-16777216,,klaferri@purdue.edu
293.13281,9.05078,9000.0,-16777216,,klaferri@purdue.edu
292.22266,7.99219,8000.0,-16777216,,klaferri@purdue.edu
294.01172,6.21094,8000.0,-16777216,,klaferri@purdue.edu
294.32031,5.92187,8000.0,-16777216,,klaferri@purdue.edu
293.10547,4.11719,52000.0,-16777216,,klaferri@purdue.edu
293.44922,1.07812,24000.0,-16777216,,klaferri@purdue.edu
293.35156,1.39062,16000.0,-16777216,,klaferri@purdue.edu
296.26172,0.00781,15000.0,-16777216,,klaferri@purdue.edu
295.44922,5.58984,8000.0,-16777216,,klaferri@purdue.edu
296.50781,6.80078,16000.0,-16777216,,klaferri@purdue.edu
295.37305,9.89844,5000.0,-16777216,,klaferri@purdue.edu
295.19531,8.60547,6000.0,-16777216,,klaferri@purdue.edu
294.54688,8.78125,4000.0,-16777216,,klaferri@purdue.edu
294.38672,8.82812,4000.0,-16777216,,klaferri@purdue.edu
294.02734,9.94727,4000.0,-16777216,,klaferri@purdue.edu
288.62305,9.57422,5000.0,-16777216,,klaferri@purdue.edu
288.1543,9.26758,7000.0,-16777216,,klaferri@purdue.edu
287.73047,9.65625,4000.0,-16777216,,klaferri@purdue.edu
287.34961,6.26172,5000.0,-16777216,,klaferri@purdue.edu
287.57812,4.64062,5000.0,-16777216,,klaferri@purdue.edu
288.65039,0.41016,4000.0,-16777216,,klaferri@purdue.edu
288.75,0.95117,5000.0,-16777216,,klaferri@purdue.edu
288.36133,1.5957,4000.0,-16777216,,klaferri@purdue.edu
288.59961,2.59961,4000.0,-16777216,,klaferri@purdue.edu
289.40234,2.62305,5000.0,-16777216,,klaferri@purdue.edu
288.4043,2.72852,6000.0,-16777216,,klaferri@purdue.edu
288.45312,5.32227,4000.0,-16777216,,klaferri@purdue.edu
288.66016,5.56836,4000.0,-16777216,,klaferri@purdue.edu
289.35156,7.84961,4000.0,-16777216,,klaferri@purdue.edu
289.34766,8.28516,4000.0,-16777216,,klaferri@purdue.edu
289.9375,8.49805,5000.0,-16777216,,klaferri@purdue.edu
290.89648,8.38867,6000.0,-16777216,,klaferri@purdue.edu
290.41992,7.48242,4000.0,-16777216,,klaferri@purdue.edu
290.10156,4.32031,7000.0,-16777216,,klaferri@purdue.edu
290.73438,3.88086,4000.0,-16777216,,klaferri@purdue.edu
289.57031,2.79297,5000.0,-16777216,,klaferri@purdue.edu
290.77539,2.85547,4000.0,-16777216,,klaferri@purdue.edu
291.00195,2.82617,4000.0,-16777216,,klaferri@purdue.edu
289.90039,1.72461,6000.0,-16777216,,klaferri@purdue.edu
290.90039,2.30469,4000.0,-16777216,,klaferri@purdue.edu
291.18945,1.21484,4000.0,-16777216,,klaferri@purdue.edu
291.29883,1.04102,5000.0,-16777216,,klaferri@purdue.edu
292.29102,1.63477,7000.0,-16777216,,klaferri@purdue.edu
292.53906,2.5957,5000.0,-16777216,,klaferri@purdue.edu
291.85156,7.22266,4000.0,-16777216,,klaferri@purdue.edu
291.69141,8.49023,5000.0,-16777216,,klaferri@purdue.edu
292.63477,7.70508,5000.0,-16777216,,klaferri@purdue.edu
294.01953,8.54102,4000.0,-16777216,,klaferri@purdue.edu
293.75,7.16992,4000.0,-16777216,,klaferri@purdue.edu
293.05078,7.125,6000.0,-16777216,,klaferri@purdue.edu
292.95898,7.14453,4000.0,-16777216,,klaferri@purdue.edu
293.31836,4.85156,5000.0,-16777216,,klaferri@purdue.edu
294.22656,2.82812,4000.0,-16777216,,klaferri@purdue.edu
293.77344,1.83984,4000.0,-16777216,,klaferri@purdue.edu
294.76367,1.28516,4000.0,-16777216,,klaferri@purdue.edu
294.79687,2.38672,5000.0,-16777216,,klaferri@purdue.edu
294.5625,2.50195,4000.0,-16777216,,klaferri@purdue.edu
295.125,1.75391,4000.0,-16777216,,klaferri@purdue.edu
295.74609,1.52148,4000.0,-16777216,,klaferri@purdue.edu
294.9043,3.59766,4000.0,-16777216,,klaferri@purdue.edu
295.31836,3.23047,6000.0,-16777216,,klaferri@purdue.edu
295.44922,3.28711,4000.0,-16777216,,klaferri@purdue.edu
