longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
31.57031,-21.19531,40000.0,-16777216,,klaferri@purdue.edu
33.47656,-20.61719,50000.0,-16777216,,klaferri@purdue.edu
33.03906,-20.92969,60000.0,-16777216,,klaferri@purdue.edu
36.0625,-21.51563,40000.0,-16777216,,klaferri@purdue.edu
30.1875,-23.25781,40000.0,-16777216,,klaferri@purdue.edu
30.91406,-23.375,40000.0,-16777216,,klaferri@purdue.edu
36.10938,-22.59375,40000.0,-16777216,,klaferri@purdue.edu
32.95312,-24.52344,90000.0,-16777216,,klaferri@purdue.edu
34.57031,-24.21875,80000.0,-16777216,,klaferri@purdue.edu
35.67187,-25.71094,30000.0,-16777216,,klaferri@purdue.edu
34.42969,-25.8125,40000.0,-16777216,,klaferri@purdue.edu
30.19531,-25.97656,90000.0,-16777216,,klaferri@purdue.edu
33.41406,-25.99219,30000.0,-16777216,,klaferri@purdue.edu
33.1875,-26.28906,40000.0,-16777216,,klaferri@purdue.edu
33.25781,-26.65625,30000.0,-16777216,,klaferri@purdue.edu
33.1875,-27.20313,30000.0,-16777216,,klaferri@purdue.edu
33.32031,-27.6875,40000.0,-16777216,,klaferri@purdue.edu
35.85938,-27,30000.0,-16777216,,klaferri@purdue.edu
32.39062,-29.60156,30000.0,-16777216,,klaferri@purdue.edu
32.5,-30.22656,60000.0,-16777216,,klaferri@purdue.edu
37.79688,-29.03906,30000.0,-16777216,,klaferri@purdue.edu
40.27344,-28.29688,70000.0,-16777216,,klaferri@purdue.edu
39.60938,-27.41406,50000.0,-16777216,,klaferri@purdue.edu
39.36719,-26.39063,40000.0,-16777216,,klaferri@purdue.edu
39.57813,-27.125,30000.0,-16777216,,klaferri@purdue.edu
36.97656,-23.94531,40000.0,-16777216,,klaferri@purdue.edu
38.36719,-24.42969,40000.0,-16777216,,klaferri@purdue.edu
37.00781,-24.58594,70000.0,-16777216,,klaferri@purdue.edu
38.11719,-21.80469,30000.0,-16777216,,klaferri@purdue.edu
38.4375,-20.92969,40000.0,-16777216,,klaferri@purdue.edu
37.03125,-22.23438,30000.0,-16777216,,klaferri@purdue.edu
36.98438,-21.99219,80000.0,-16777216,,klaferri@purdue.edu
31.04297,-21.05859,8000.0,-16777216,,klaferri@purdue.edu
31.12891,-22.26563,13100.0,-16777216,,klaferri@purdue.edu
32.67188,-20.47266,12000.0,-16777216,,klaferri@purdue.edu
30.64844,-23.88672,14000.0,-16777216,,klaferri@purdue.edu
31.96094,-23.13281,8000.0,-16777216,,klaferri@purdue.edu
31.49219,-25.58203,20000.0,-16777216,,klaferri@purdue.edu
32.14062,-25.28516,25000.0,-16777216,,klaferri@purdue.edu
31.84766,-26.05469,18000.0,-16777216,,klaferri@purdue.edu
29.97656,-24.83203,12000.0,-16777216,,klaferri@purdue.edu
31.01172,-26.17969,10000.0,-16777216,,klaferri@purdue.edu
30.87109,-26.07813,8000.0,-16777216,,klaferri@purdue.edu
30.82422,-27.30859,21000.0,-16777216,,klaferri@purdue.edu
31.6875,-28.10547,17000.0,-16777216,,klaferri@purdue.edu
30.01172,-28.21875,20000.0,-16777216,,klaferri@purdue.edu
32.14844,-27.21094,11000.0,-16777216,,klaferri@purdue.edu
31.95703,-27.42578,8000.0,-16777216,,klaferri@purdue.edu
31.78125,-26.92969,8000.0,-16777216,,klaferri@purdue.edu
30.56641,-29.14453,8000.0,-16777216,,klaferri@purdue.edu
30.93359,-29.125,11000.0,-16777216,,klaferri@purdue.edu
30.02734,-29.29688,18000.0,-16777216,,klaferri@purdue.edu
31.49219,-29.99219,16000.0,-16777216,,klaferri@purdue.edu
31.68359,-29.64844,13000.0,-16777216,,klaferri@purdue.edu
32.77344,-28.65625,10000.0,-16777216,,klaferri@purdue.edu
34.00781,-28.58984,8000.0,-16777216,,klaferri@purdue.edu
34.29297,-28.58984,18000.0,-16777216,,klaferri@purdue.edu
33.48828,-29.73828,8000.0,-16777216,,klaferri@purdue.edu
34.81641,-28.53516,19000.0,-16777216,,klaferri@purdue.edu
34.73828,-28.3125,8000.0,-16777216,,klaferri@purdue.edu
35.36328,-29.42188,19000.0,-16777216,,klaferri@purdue.edu
35.89453,-29.58203,18000.0,-16777216,,klaferri@purdue.edu
35.99609,-29.96094,12000.0,-16777216,,klaferri@purdue.edu
36.40625,-29.73047,10000.0,-16777216,,klaferri@purdue.edu
36.32031,-29.44141,27000.0,-16777216,,klaferri@purdue.edu
36.19141,-29.19141,8000.0,-16777216,,klaferri@purdue.edu
36.80859,-28.93359,8000.0,-16777216,,klaferri@purdue.edu
36.71484,-28.12891,13000.0,-16777216,,klaferri@purdue.edu
37.5625,-28.625,20000.0,-16777216,,klaferri@purdue.edu
37.80078,-28.22266,13000.0,-16777216,,klaferri@purdue.edu
37.27344,-27.8125,12000.0,-16777216,,klaferri@purdue.edu
36.88281,-29.32031,9000.0,-16777216,,klaferri@purdue.edu
38.375,-29.16797,20000.0,-16777216,,klaferri@purdue.edu
38.48047,-28.82422,23000.0,-16777216,,klaferri@purdue.edu
39.76953,-29.70313,12000.0,-16777216,,klaferri@purdue.edu
37.76562,-26.51953,13000.0,-16777216,,klaferri@purdue.edu
