longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
239.35938,-17.52344,6000.0,-16777216,,klaferri@purdue.edu
236.625,-17.71094,4000.0,-16777216,,klaferri@purdue.edu
235.5625,-20.69531,5000.0,-16777216,,klaferri@purdue.edu
236.04688,-20.39062,4000.0,-16777216,,klaferri@purdue.edu
234.80469,-20.99219,6000.0,-16777216,,klaferri@purdue.edu
231.5625,-20.24219,5000.0,-16777216,,klaferri@purdue.edu
231.96875,-18.1875,4000.0,-16777216,,klaferri@purdue.edu
234.48438,-16.6875,4000.0,-16777216,,klaferri@purdue.edu
230.79688,-15.21094,7000.0,-16777216,,klaferri@purdue.edu
232.64062,-15.85937,5000.0,-16777216,,klaferri@purdue.edu
233.01562,-12.92969,7000.0,-16777216,,klaferri@purdue.edu
233.45312,-13.375,4000.0,-16777216,,klaferri@purdue.edu
